train_losses,0.3077997664753993,0.2766118835581121,0.26547091601333206,0.2604578929419556,0.257157498125842,0.250466505012235,0.24670083360724987,0.24278733561527394,0.2378110920740006,0.2316431117373636,0.2142910353992825,0.20909368371780884,0.20425196810022542,0.20184618785101704,0.19946082114859,0.19627614742372276,0.19173975264856924
train_accuracies,88.31250392513974,88.890284494128,88.82748225836839,88.91540538843182,88.73955912830496,88.86516359982416,89.14777366074232,89.3989826037807,89.57482886390756,89.6753124411229,90.5231426238774,90.67386798970044,90.7241097783081,90.86227469697921,90.91251648558689,90.96275827419456,91.35213213590404
val_losses,0.26984586054248505,0.24670095354048915,0.24316687672925752,0.23913577075929662,0.24351146254199663,0.2280136988544626,0.22012452199650567,0.2163354872274992,0.2163154855707652,0.22018329704778766,0.20776581106817021,0.20510961641283595,0.2069816387414393,0.20588650333598188,0.20746879365581733,0.21051238097958436,0.21004407141543083
val_accuracies,88.2918552036199,89.36651583710407,89.42307692307692,89.02714932126698,89.25339366515837,89.98868778280543,90.21493212669684,90.10180995475113,90.10180995475113,90.83710407239819,90.55429864253394,91.0633484162896,90.89366515837104,90.9502262443439,91.0633484162896,90.9502262443439,90.83710407239819
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
execution time,81.90272927284241,81.79337763786316,81.88710856437683,81.96521353721619,81.7777578830719,81.91834998130798,81.9808349609375,81.762136220932,81.80899858474731,81.84024333953857,81.93396925926208,81.76213669776917,81.82462167739868,81.69965052604675,81.93397188186646,82.94935846328735,81.85586428642273
True Positives,26,15,28,10,13,40,56,58,37,86,56,75,66,67,77,86,74
True Negatives,1535,1565,1553,1564,1565,1551,1539,1535,1556,1520,1545,1535,1541,1541,1533,1522,1532
False Positives,33,3,15,4,3,17,29,33,12,48,23,33,27,27,35,46,36
False Negatives,174,185,172,190,187,160,144,142,163,114,144,125,134,133,123,114,126
