train_losses,0.3661985940745343,0.3412801708378222,0.3296289516855841,0.3432240623008946,0.28546807493852533,0.2916671198023402,0.28570454502883164,0.2954546754126963,0.2598715703934431,0.263690211445741,0.2842397548906181,0.2675201570534188
train_accuracies,82.9001367989056,84.95212038303694,85.49931600547195,84.54172366621067,87.27770177838578,87.82489740082079,87.82489740082079,87.14090287277702,88.91928864569084,89.46648426812585,88.0984952120383,88.64569083447333
val_losses,0.38100078478455546,0.3526508867740631,0.5207675397396088,0.37447373643517495,0.5051073804497719,0.38811558187007905,0.3817706868052483,0.3937426209449768,0.40501649752259256,0.38978870809078214,0.38168399706482886,0.37325994223356246
val_accuracies,83.75,83.75,72.5,85.0,81.25,80.0,81.25,81.25,80.0,80.0,82.5,83.75
learning_rate,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05
execution time,3.784660577774048,3.7977283000946045,3.8230714797973633,3.775660991668701,3.8142688274383545,3.889909029006958,3.859015464782715,3.8259363174438477,3.835411310195923,3.886561870574951,3.859943389892578,3.8511083126068115
True Positives,2,7,10,5,0,6,6,4,6,5,5,8
True Negatives,65,60,48,63,65,58,59,61,58,59,61,59
False Positives,1,6,18,3,1,8,7,5,8,7,5,7
False Negatives,12,7,4,9,14,8,8,10,8,9,9,6
