train_losses,0.3532573983694428,0.2975114269125019,0.27967093208742044,0.27151577265223087,0.261502925750001,0.23825942716336262,0.23122455696105237,0.22830155159995552,0.22353440718299655,0.22034212260585165,0.21453014736885645,0.21304345548542106,0.21404881590517966,0.21345808662171042,0.2111303021804823,0.21256503774136648,0.21267540886622094,0.20975406305506145
train_accuracies,88.117816994285,88.41926772593105,88.54487219745023,88.46950951453871,88.90284494127991,89.50574640457201,89.79463668906612,89.89512026628148,90.00816429064875,90.25309301011116,90.50430195314954,90.56710418890913,90.42893927023802,90.44149971738995,90.71154933115619,90.5545437417572,90.65502731897256,90.44149971738995
val_losses,0.28522771340689507,0.2600358291718755,0.2762887781966326,0.2495735990920218,0.23780065168082984,0.22955355843807237,0.23001436922884635,0.22716416910762702,0.22411539011141834,0.22408178077833685,0.2235426035671752,0.22264806514951438,0.22221618587345018,0.22313774205171144,0.22372349638205308,0.2250655828153386,0.22305155690439146,0.22369995396331424
val_accuracies,88.23529411764706,88.74434389140272,89.30995475113122,89.42307692307692,89.42307692307692,90.04524886877829,90.32805429864253,90.04524886877829,90.10180995475113,90.21493212669684,90.49773755656109,90.44117647058823,90.55429864253394,90.55429864253394,90.61085972850678,90.44117647058823,90.55429864253394,90.78054298642535
learning_rate,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06
execution time,104.69329857826233,96.24375581741333,94.1149091720581,94.35125017166138,95.31650233268738,93.69299244880676,94.02367115020752,95.93954110145569,94.6759603023529,94.34707474708557,95.39296913146973,95.14511919021606,92.1917130947113,94.50276684761047,95.29385137557983,94.08070182800293,93.74309492111206,93.6330144405365
True Positives,25,7,50,56,16,68,59,38,58,56,52,64,54,72,72,53,68,66
True Negatives,1535,1562,1529,1525,1565,1524,1538,1554,1535,1539,1548,1535,1547,1529,1530,1546,1533,1539
False Positives,33,6,39,43,3,44,30,14,33,29,20,33,21,39,38,22,35,29
False Negatives,175,193,150,144,184,132,141,162,142,144,148,136,146,128,128,147,132,134
