train_losses,0.30894883247939026,0.27709610863120515,0.26050646356501095,0.2585538981369187,0.25787984268456354,0.25423060260088165,0.251747130821887,0.2455798334370511,0.24789035941288437,0.2397582940280153,0.2346109379399128,0.22703876235395565,0.2232354682510497,0.22212984600763475,0.21920080159826832,0.22015421459051845,0.21601448772406828,0.2144415077647182,0.21145224288510114,0.2118574539304719,0.20926513220312187,0.2081336374860023,0.20816569056854003,0.2102480285161557
train_accuracies,88.46950951453871,88.60139420963387,88.77724046976073,88.90284494127991,88.95936695346354,88.88400427055203,88.91540538843182,89.09753187213465,88.9656471770395,89.41782327450858,89.46178483954029,89.76323557118633,90.0018840670728,90.0144445142247,90.08352697356025,90.37869748163034,90.25309301011116,90.37241725805438,90.36613703447843,90.22797211580732,90.47290083526974,90.67386798970044,90.6173459775168,90.52942284745338
val_losses,0.2801429072723669,0.265436954105197,0.26249273947326307,0.24190407040701734,0.23359843306411984,0.23345743021948845,0.24171414855041656,0.2401185202079391,0.22496571277196592,0.23995077411108967,0.222479084835333,0.22168853079976,0.21919357901380074,0.2189763717319631,0.2168092824923237,0.2163637181853547,0.22403753671913126,0.2225074437341539,0.2151350166935187,0.22935902538005584,0.21723883388336426,0.21939722487357408,0.2189450954757125,0.2177810253600729
val_accuracies,88.23529411764706,89.30995475113122,88.80090497737557,88.91402714932127,89.59276018099547,89.30995475113122,89.36651583710407,89.70588235294117,89.93212669683258,89.53619909502262,90.04524886877829,89.98868778280543,90.15837104072398,89.87556561085972,89.87556561085972,90.15837104072398,89.81900452488688,90.04524886877829,90.21493212669684,89.64932126696833,90.10180995475113,90.04524886877829,90.15837104072398,90.15837104072398
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05
execution time,196.9227147102356,196.43845057487488,196.5321798324585,196.48531293869019,196.4696958065033,196.2822368144989,196.11040115356445,196.0635380744934,196.2822380065918,196.15726780891418,196.11040139198303,196.04791808128357,196.06353855133057,196.20412969589233,196.36034440994263,196.20413041114807,196.12602424621582,196.1260256767273,196.3134787082672,196.26661586761475,196.3291003704071,196.1104018688202,196.07915902137756,196.28223538398743
True Positives,8,22,34,11,46,17,17,57,54,22,49,57,64,56,49,64,51,67,73,41,67,53,58,65
True Negatives,1552,1557,1536,1561,1538,1562,1563,1529,1536,1561,1543,1534,1530,1533,1540,1530,1537,1525,1522,1544,1526,1539,1536,1529
False Positives,16,11,32,7,30,6,5,39,32,7,25,34,38,35,28,38,31,43,46,24,42,29,32,39
False Negatives,192,178,166,189,154,183,183,143,146,178,151,143,136,144,151,136,149,133,127,159,133,147,142,135
